Datasets,RandomGhosts,Legacy
201,28930,33820
202,21130,43440
203,30620,23580
204,43210,44090
205,46830,4870
206,13230,18320
207,34330,5630
208,25130,17780
209,17180,20420
210,50270,28300
211,22620,26560
212,43170,19170
213,9760,22750
214,16610,17260
215,41010,52530
216,7100,32540
217,103270,15430
218,35800,17320
219,68020,28390
220,46060,24260
221,21940,18400
222,38720,18220
223,22490,39160
224,12160,15880
225,25250,3890
226,25330,4200
227,15830,7300
228,9040,20810
229,13130,60990
230,42000,31750
231,24690,26880
232,18020,30300
233,36210,16340
234,24040,28200
235,39620,18730
236,42220,64630
237,36380,16820
238,37020,23160
239,21550,44290
240,13360,19550
241,29650,38680
242,21150,15840
243,19260,8100
244,38250,20930
245,31290,26030
246,47360,7070
247,22890,16150
248,7120,23220
249,20570,18680
250,30460,17630
251,23380,13720
252,64250,26900
253,43650,7950
254,29050,17430
255,35010,45720
256,36410,26800
257,34420,15810
258,3180,17050
259,13370,15410
260,26050,29850
261,19420,27100
262,54640,28890
263,37590,33300
264,57070,17910
265,24930,15280
266,24350,13950
267,33160,17600
268,22990,13290
269,25110,15900
270,21300,22500
271,8700,7060
272,28300,9420
273,22320,13250
274,7590,14330
275,9090,17420
276,21090,27290
277,47940,33570
278,21450,24280
279,29610,20900
280,35750,39760
281,22420,33750
282,12410,21310
283,15760,22570
284,7160,7170
285,40400,34560
286,19630,18960
287,37700,5240
288,43690,18720
289,38990,17250
290,37560,16890
291,38190,9650
292,36950,24180
293,38660,15100
294,27770,13530
295,20320,34160
296,17210,14080
297,12540,37550
298,3430,8990
299,36600,11180
300,26520,28180
301,8760,26670
302,20150,25250
303,14700,15120
304,25290,23430
305,30800,8830
306,20120,3570
307,30420,17890
308,75290,19820
309,19460,24270
310,39630,41340
311,25290,15930
312,26450,27210
313,40930,31630
314,48330,3390
315,14340,16500
316,62550,17070
317,53290,20930
318,23100,3030
319,9810,14530
320,50170,9580
321,25770,43900
322,53970,23190
323,14490,21520
324,28280,20800
325,29920,27320
326,26960,21420
327,16910,6050
328,21430,11000
329,19280,27030
330,37130,25920
331,37730,33770
332,23250,16230
333,22400,30410
334,53720,20490
335,25900,28790
336,56400,25160
337,20530,16240
338,76310,20720
339,23570,2850
340,23210,14930
341,30920,34440
342,19370,21280
343,41710,3070
344,28120,4880
345,28590,11150
346,33370,8160
347,42720,17010
348,53430,20890
349,15970,9070
350,43560,13950
351,8680,32910
352,13230,2550
353,17120,7690
354,23650,25210
355,18410,37530
356,24000,34580
357,53490,18350
358,31520,33690
359,36090,18180
360,58160,36420
361,36260,16310
362,21260,22960
363,18790,18660
364,42580,27520
365,51760,43280
366,7000,32790
367,33720,40170
368,6220,32040
369,38900,31120
370,31400,18690
371,38380,17970
372,18560,5270
373,26230,24920
374,42940,20760
375,64760,17830
376,36040,30910
377,32890,23740
378,27900,17980
379,16680,4860
380,7040,37780
381,24960,23240
382,22890,22160
383,31010,4060
384,60620,25060
385,19290,25420
386,36170,25020
387,11670,18830
388,38110,49710
389,27540,21670
390,20450,11350
391,24180,15630
392,43360,8520
393,17190,8430
394,6550,10860
395,34480,16140
396,17020,28410
397,56170,9070
398,28360,38720
399,15380,20330
400,4360,21840
401,28470,22990
402,35150,23640
403,37850,19030
404,37920,26090
405,28590,7510
406,20770,18760
407,24710,15720
408,26810,18540
409,41540,3640
410,18420,18390
411,19410,33740
412,21390,9240
413,41200,46130
414,13500,52210
415,18500,30800
416,48980,13520
417,87150,4680
418,19040,6290
419,29620,15900
420,41670,11210
421,21790,32080
422,37670,26730
423,40610,29010
424,68460,31460
425,53290,37230
426,34700,21960
427,36610,6250
428,5080,18740
429,17910,7660
430,24800,18160
431,52550,54100
432,19350,21150
433,41180,18240
434,60180,4790
435,31370,36110
436,75890,33280
437,51300,25530
438,31730,27280
439,22310,6800
440,48120,33540
441,19570,62300
442,6850,9260
443,43390,7210
444,17510,2760
445,16860,5200
446,8480,14360
447,13020,27830
448,13340,23970
449,23220,26680
450,31240,24850
451,8950,22570
452,23380,29160
453,9440,5300
454,34270,6330
455,19340,18320
456,36590,26010
457,36810,18510
458,20760,32360
459,26410,17500
460,33250,16280
461,37660,22850
462,28980,16910
463,20820,28510
464,18310,40860
465,42590,18100
466,40090,27270
467,32000,9320
468,39920,36610
469,9760,34700
470,35440,36040
471,67160,12360
472,20390,33150
473,25330,22830
474,32940,29220
475,34200,38190
476,27250,46470
477,27430,9200
478,40840,60030
479,38810,6170
480,24370,24360
481,30420,17880
482,39270,17260
483,18310,2910
484,26840,22470
485,56360,9680
486,16490,17460
487,33870,21800
488,19500,42600
489,53880,20950
490,35630,7580
491,3380,20340
492,14610,16260
493,31580,31980
494,41710,28400
495,39790,17480
496,24200,18580
497,46080,47910
498,2920,14750
499,32730,6500
500,23720,30110
501,37850,6670
502,27020,23510
503,38920,36520
504,41610,16930
505,7840,17700
506,20820,17860
507,27130,26820
508,21070,30210
509,61830,15670
510,35290,30340
511,29550,6410
512,16310,4120
513,36170,10920
514,30240,9290
515,26700,22070
516,31920,29290
517,34350,14890
518,28590,6650
519,50580,26470
520,7690,6340
521,25420,5240
522,29680,33710
523,36140,8680
524,23830,40650
525,20790,16620
526,22480,8340
527,31540,30740
528,41130,25480
529,38460,8570
530,31400,21040
531,24730,33520
532,28420,29840
533,20410,21920
534,15170,30050
535,17080,25110
536,32440,3180
537,14010,23580
538,53580,44730
539,23970,24120
540,18730,25590
541,43430,29380
542,9360,3720
543,36770,16760
544,38400,20420
545,33760,34880
546,70100,20080
547,17020,17060
548,36540,15630
549,25770,17530
550,14660,3090
551,58810,6510
552,7920,20110
553,33300,26250
554,11660,19890
555,26110,11490
556,34830,41960
557,41130,7890
558,22500,21390
559,13580,29280
560,30710,22840
561,34460,24540
562,16260,6870
563,40150,32390
564,4780,34650
565,13130,55010
566,45420,17610
567,8300,17910
568,27090,31180
569,32860,16970
570,19120,20610
571,33780,12690
572,46970,16850
573,9760,3130
574,9040,13150
575,41160,7560
576,36130,25170
577,30320,8350
578,50770,19330
579,26800,15640
580,34440,22100
581,36620,9740
582,20500,4680
583,50460,33220
584,33580,26810
585,34550,19650
586,21840,4040
587,58790,18050
588,56740,16650
589,32020,22770
590,36490,29400
591,50050,29860
592,51380,9850
593,45800,46610
594,24680,11010
595,50110,13810
596,37850,24650
597,16920,28490
598,31650,16250
599,29810,34460
600,9940,26240
601,23730,44350
602,37870,15020
603,19950,27260
604,16360,15390
605,35080,19480
606,21120,31690
607,28460,36360
608,13870,21620
609,19470,9890
610,17880,20780
611,26240,29720
612,33620,16680
613,14840,18510
614,23870,5940
615,16180,33990
616,27050,52020
617,21400,24120
618,31480,19980
619,63640,3570
620,24630,20030
621,23590,12740
622,24350,7940
623,13900,12450
624,38420,5250
625,27650,18680
626,28610,7690
627,18320,29020
628,8710,9900
629,18150,37380
630,36360,32380
631,31110,42030
632,27820,24610
633,8480,34640
634,16040,9970
635,37550,21620
636,18660,15190
637,18230,18960
638,30840,21490
639,36010,9320
640,41140,32590
641,33420,16460
642,31180,17040
643,35740,28980
644,52770,4480
645,34270,20340
646,9900,9160
647,49180,19500
648,38120,17310
649,32300,25860
650,47360,6460
651,9760,15800
652,5040,13850
653,28640,40960
654,17680,9600
655,34410,9770
656,24190,40430
657,37790,8440
658,53140,17730
659,17120,14430
660,11550,20280
661,40840,9400
662,24800,29550
663,24270,16750
664,19270,25600
665,9710,20550
666,9550,34180
667,17300,22110
668,44050,28220
669,36970,21060
670,35270,25270
671,11610,17710
672,16880,11360
673,25750,30290
674,19600,25660
675,43250,18170
676,47570,30750
677,16380,41290
678,16960,17690
679,14100,31970
680,26570,24100
681,34700,27370
682,69380,40180
683,73770,16010
684,48620,31770
685,62160,7580
686,40820,25890
687,71410,22480
688,51950,28380
689,36790,16580
690,37160,20600
691,41340,16560
692,45830,2520
693,49270,4600
694,48530,28080
695,58910,18420
696,4750,18020
697,39570,4520
698,30570,21650
699,12880,28940
700,9430,33600
701,55930,48550
702,54490,25770
703,26610,22300
704,35510,25110
705,6700,17920
706,52610,7450
707,43440,29820
708,16150,7710
709,14670,40100
710,17460,24770
711,16500,63670
712,27650,16070
713,53270,41710
714,45960,27380
715,7220,18640
716,56940,19300
717,35910,16200
718,19370,7380
719,14530,8360
720,34730,5350
721,29770,7340
722,21530,4150
723,23870,3580
724,46890,26050
725,50840,23980
726,17280,16050
727,9720,28770
728,43820,17830
729,36450,38690
730,26610,8920
731,16420,17650
732,14580,55670
733,19090,20160
734,35160,43280
735,48950,19370
736,43670,21600
737,24440,14310
738,9310,19870
739,19380,28780
740,8770,18440
741,31030,15090
742,20610,33130
743,28050,32730
744,48260,22500
745,41280,18440
746,31110,31830
747,36110,49920
748,23360,8510
749,18900,24700
750,27630,8600
751,47090,23820
752,25370,13910
753,35310,20940
754,29240,20140
755,36550,9070
756,32560,18650
757,18860,20770
758,20160,23430
759,47690,28160
760,30880,38580
761,34230,14840
762,34150,15860
763,29290,25800
764,5430,15690
765,32240,19750
766,3900,19640
767,19500,25690
768,36990,3280
769,38360,18690
770,41320,41510
771,15450,9700
772,21270,24640
773,43370,39390
774,4630,7560
775,21670,21220
776,37060,17240
777,18400,19820
778,16880,15040
779,27180,3580
780,19350,19320
781,16520,9340
782,21720,23350
783,42800,8480
784,51920,27560
785,48280,18440
786,23900,15990
787,50700,23420
788,39450,28450
789,23500,21280
790,29140,15280
791,36770,16280
792,42880,19340
793,33500,21280
794,29440,28910
795,38730,16590
796,18000,15650
797,29950,21020
798,22030,33420
799,23450,21180
800,8200,7560
801,39010,5310
802,35000,24990
803,28090,8300
804,48800,29140
805,19830,23850
806,38990,29160
807,31130,44250
808,46520,20440
809,12390,52040
810,22560,17420
811,25660,36820
812,10560,27670
813,37910,29250
814,57540,19500
815,33120,21440
816,29780,16350
817,33800,21760
818,9240,26930
819,22790,39990
820,8970,17990
821,24910,28160
822,17860,27350
823,25200,18460
824,17330,24660
825,11900,30700
826,29200,21700
827,43850,9000
828,62420,22130
829,4130,8200
830,35100,3680
831,3490,22500
832,30060,20710
833,44180,27370
834,57360,9490
835,36680,20970
836,35930,19860
837,21880,16620
838,30480,17780
839,34800,17840
840,20510,12270
841,24750,17880
842,29270,6510
843,47650,12120
844,26500,29800
845,4090,39930
846,16710,16260
847,30600,26720
848,37920,7030
849,21970,25330
850,19460,34340
851,20620,21940
852,20270,25150
853,52610,16500
854,39890,39360
855,33320,15940
856,30700,39360
857,41310,8180
858,42410,11190
859,30510,34990
860,16900,16700
861,33120,5300
862,6990,34750
863,38020,18620
864,14010,16540
865,22450,41290
866,44540,13070
867,13530,2710
868,14240,10910
869,54360,42880
870,39870,12230
871,56340,6060
872,17710,11450
873,26120,20020
874,33580,18750
875,22300,6480
876,20300,51630
877,31260,26150
878,37950,6800
879,41470,5830
880,38480,29940
881,7160,25450
882,54510,18690
883,39900,22150
884,21980,7630
885,51160,37540
886,48350,6430
887,38180,38580
888,7760,18710
889,26140,16100
890,30030,8100
891,20480,8730
892,19770,21660
893,29020,21530
894,23830,11130
895,36030,8290
896,17210,20880
897,49030,46500
898,17020,8580
899,19800,15400
900,35170,16580
901,25090,16340
902,56510,18390
903,18420,37850
904,17580,15740
905,34830,13940
906,45080,8810
907,46420,18000
908,30990,15780
909,36740,62450
910,37370,30910
911,38130,14670
912,7320,15530
913,34520,9700
914,50390,65270
915,16620,20760
916,26890,28260
917,28660,22960
918,42720,9730
919,45200,36170
920,17170,56540
921,20720,20290
922,28110,57070
923,31690,31570
924,11950,38440
925,29950,9200
926,18920,13210
927,38690,44400
928,28290,19020
929,16980,19820
930,18480,14690
931,25890,20610
932,27210,22760
933,16990,28900
934,26910,20710
935,31860,25660
936,19120,15710
937,35960,15810
938,4870,33800
939,41020,6150
940,8810,3480
941,9620,20750
942,9810,14380
943,50880,4560
944,22230,16160
945,32680,8790
946,49180,16280
947,37940,25010
948,39360,55090
949,48190,13410
950,18360,4390
951,17110,44550
952,19770,29380
953,15470,36460
954,32300,13230
955,16360,28070
956,30890,9130
957,21690,17160
958,8790,4760
959,30200,21870
960,16970,33030
961,31890,8610
962,38240,22730
963,35740,25360
964,39540,9530
965,68320,19300
966,44160,3580
967,54540,18680
968,38350,30900
969,24360,32120
970,15940,16480
971,48420,17940
972,36790,37650
973,55780,32660
974,35190,16960
975,34250,6540
976,23320,19520
977,35220,20090
978,42300,18840
979,21800,23300
980,28100,17210
981,34800,59870
982,9710,14940
983,30140,16820
984,14220,28350
985,50540,7750
986,23570,9880
987,22860,7040
988,5290,15660
989,13230,15070
990,24220,3780
991,35320,18970
992,29690,2700
993,22960,18050
994,19370,6960
995,31460,58820
996,41340,6660
997,33160,23060
998,32230,28240
999,14770,4180
1000,65160,22560
